BAF10,1.58514950,0.143559385,1.085212690,0.00926681282,0.0424489805,105.6135730,1.67
BK7,1.03961212,0.231792344,1.01046945,0.00600069867,0.0200179144,103.560653,1.5168
F5,1.3104463,0.19603426,0.96612977,0.00958633048,0.0457627627,115.011883,1.6034
FK3,0.973346627,0.146642231,0.679304225,0.00640795469,0.020565293,80.4965389,1.4645
FK5,0.844309338,0.344147824,0.910790213,0.00475111955,0.0149814849,97.8600293,1.4875
LAF2,1.80984227,0.15729555,1.0930037,0.0101711622,0.0442431765,100.687748,1.7440
LAF3,1.73155854,0.150874455,1.06586596,0.00953833914,0.0407887211,98.0758545,1.7170
LAF21,1.87134529,0.25078301,1.22048639,0.0093332228,0.0345637762,83.2404866,1.7880
LAK10,1.72878017,0.169257825,1.19386956,0.00886014635,0.0363416509,82.9009069,1.720
LAK14,1.50781212,0.318866829,1.142872130,0.00746098727,0.0242024834,80.9565165,1.6968
SF1,1.60865158,0.237725916,1.51530653,0.0119654879,0.0590589722,135.521676,1.7174
SF5,1.46141885,0.247713019,0.949995832,0.0111826126,0.0508594669,112.041888,1.6727
SF6,1.77931763,0.338149866,2.087344740,0.01337141820,0.0617533621,174.0175900,1.80518
SF15,1.53925927,0.247620926,1.03816409,0.0119307961,0.0556077536,116.416747,1.699
SF56,1.70579259,0.344223052,1.09601828,0.0133874699,0.0579561608,121.616024,1.7847
SK11,1.17963631,0.229817295,0.935789652,0.00680282081,0.0219737205,101.5132320,1.56384
SSKN5,1.59222659,0.103520774,1.051740160,0.00920284626,0.0423530072,106.9273740,1.6584
