radius;thickness;material;index;v-no;sa
171.230;14.930;BSF51;1.724;38.1;53.0
763.940;0.770;air;;;53.0
75.810;28.560;LAK9;1.691;54.7;46.5
2028.000;4.950;F8;1.596;39.2;46.5
46.060;17.550;air;;;34.5
;17.000;air;;;32.8
-44.590;4.950;SF62;1.681;31.9;33.5
174.700;31.780;LAK14;1.697;55.4;46.0
-67.790;0.770;air;;;46.0
261.370;14.660;LAK14;1.697;55.4;44.0
-324.360;0.770;air;;;44.0
107.500;19.190;LAK14;1.697;55.4;46.0
-154.110;3.070;SF18;1.722;29.2;46.0
-959.700;61.517;air;;;46.0
