radius;thickness;material;index;v-no;sa
17.500;2.900;SF2;1.648;33.8;4.5
5.800;1.300;FS;1.603;38.0;3.7
18.600;1.500;air;;;3.7
;1.500;air;;;3.6
-12.800;1.100;KF6;1.517;52.2;3.7
18.600;1.800;SSK3;1.615;51.2;4.5
-14.300;95.013;air;;;4.5
