radius;thickness;material;index;v-no;sa
58.950;7.520;BAF10;1.670;47.1;25.2 
169.660;0.240;air;;;25.2 
38.550;8.050;BAF10;1.670;47.1;23.0  
81.540;6.550;SF15;1.699;30.1;23.0  
25.500;11.410;air;;;18.0 
;9.000;air;;;17.1 
-28.990;2.360;F5;1.603;38.0;17.0 
81.540;12.130;LAK11;1.658;57.3;20.0 
-40.770;0.380;air;;;20.0 
874.130;6.440;LAF3;1.717;48.0;20.0 
-79.460;72.228;air;;;20.0 
