radius;thickness;material;index;v-no;sa
47.872;9.644;LAFN2;1.749;58.7;24.0
;1.592;air;;;23.4
39.631;9.200;LAFN2;1.749;58.7;20.5
68.325;2.217;air;;;17.7
555.022;9.914;SF11;1.793;32.9;17.5
23.114;18.581;air;;;12.9
-27.811;4.302;SF11;1.793;32.9;10.8
-126.901;7.485;SK15;1.626;77.1;11.9
-40.232;13.256;air;;;11.9
;5.056;LAFN2;1.749;58.7;13.2
-72.739;1.079;air;;;13.5
60.109;5.160;SK15;1.626;77.1;13.4
337.456;63.945;air;;;13.0
