radius;thickness;material;index;v-no;sa
88.240;8.940;LAF3;1.717;48.0;43.0
278.800;0.780;air;;;43.0
39.960;13.480;LAF21;1.788;47.5;34.0
89.840;3.880;SFN64;1.706;30.3;34.0
26.540;19.500;air;;;24.3
;4.500;air;;;22.8
-167.200;5.760;LAF21;1.788;47.5;23.0
-89.840;5.140;air;;;23.0
-35.620;3.880;SFS5;1.762;27.1;22.3
-198.920;18.000;LAF21;1.788;47.5;25.2
-48.580;0.780;air;;;30.3
;7.560;LAF21;1.788;47.5;35.0
-106.580;62.112;air;;;35.4
