radius;thickness;material;index;v-no;sa
56.000;6.900;LAF2;1.744;44.7;14.0
267.000;0.200;air;;;14.0
40.800;4.900;SSK4;1.618;55.1;13.1
58.300;3.300;F4;1.617;36.6;13.1
25.800;2.900;air;;;11.2
;3.000;air;;;11.1
-24.200;3.300;F4;1.817;36.6;11.2
72.500;4.900;SSK4;1.618;55.1;12.5
-40.000;0.200;air;;;12.5
-114.000;6.900;LAF2;1.744;44.7;14.0
-39.000;89.160;air;;;14.0
