radius;thickness;material;index;v-no;sa
;6.000;K3;1.518;59.0;33.3
;10.667;air;;;33.3
-70.289;58.907;LAF28;1.773;49.6;30.0
-59.007;1.697;air;;;54.0
-571.301;41.635;CAF;1.434;94.9;71.7
-116.217;15.576;air;;;78.3
2129.653;13.878;SF3;1.740;28.3;89.7
175.224;107.531;CAF;1.434;94.9;94.0
-139.381;77.878;air;;;104.3
1635.724;93.153;PCD4;1.618;63.4;105.3
-808.826;6.889;air;;;103.7
577.791;17.373;PCD4;1.618;63.4;101.3
121.010;76.280;FK51;1.487;84.5;94.0
753.114;100.0;air;;;92.0
