radius;thickness;material;index;v-no;sa
16.440;4.400;SK1;1.610;56.7;15.5
19.720;0.800;air;;;14.6
21.100;1.970;SK1;1.610;56.7;14.6
25.100;0.950;air;;;14.6
13.080;0.690;SF1;1.717;29.5;11.0
10.870;8.070;air;;;9.8
;8.070;air;;;5.9
-10.870;0.650;SF1;1.717;29.5;9.8
-13.140;1.510;air;;;11.4
-26.340;7.870;SK1;1.610;56.7;17.6
-18.040;79.729;air;;;17.6
