radius;thickness;material;index;v-no;sa
93.320;11.320;LAF3;1.717;48.0;40.0
358.290;0.400;air;;;40.0
46.320;20.000;BAF9;1.643;48.0;36.0
;2.000;LF2;1.589;40.9;36.0
28.680;14.000;air;;;24.5
;10.000;air;;;24.3
-41.320;6.000;SF14;1.762;26.5;24.0
60.800;22.000;LAF2;1.744;44.7;30.0
-55.000;13.000;air;;;30.0
90.200;16.000;LAF3;1.717;48.0;28.0
-212.580;56.424;air;;;28.0
