radius;thickness;material;index;v-no;sa
149.035;2.500;SK4;1.613;58.6;10.5
-46.003;2.000;SF14;1.762;26.5;10.5
-477.921;0.500;air;;;10.5
26.522;2.500;SK4;1.613;58.6;10.5
132.322;24.060;air;;;10.5
-28.605;2.000;SK4;1.613;58.6;7.6
22.989;1.050;air;;;7.6
82.834;2.500;F5;1.603;38.0;7.6
-36.911;42.897;air;;;7.6
