radius;thickness;material;index;v-no;sa
83.600;10.800;BAF9;1.643;48.0;36.0
321.000;1.700;air;;;36.0
44.800;15.600;SK10;1.623;56.9;32.0
-1150.000;5.100;LF7;1.575;41.5;32.0
28.300;11.900;air;;;22.5
;7.000;air;;;22.3
-38.500;5.100;SF5;1.673;32.2;22.4
50.500;21.200;BAF9;1.643;48.0;28.0
-53.200;1.000;air;;;28.0
106.000;13.900;BAF9;1.643;48.0;28.0
-120.000;64.690;air;;;28.0
