radius;thickness;material;index;v-no;sa
84.171;10.000;LAK10;1.720;50.3;44.0
256.890;0.060;air;;;44.0
38.420;12.970;LAF21;1.788;47.5;32.5
86.390;3.740;SFN64;1.706;30.3;32.5
25.520;17.100;air;;;22.7
;6.000;air;;;22.1
-160.770;5.540;LAF21;1.788;47.5;24.0
-86.390;4.940;air;;;24.0
-34.480;3.740;SFS5;1.762;27.1;22.0
-137.140;13.140;LAF21;1.788;47.5;30.0
-45.750;1.710;air;;;33.0
-2000.000;13.710;LAF3;1.717;48.0;45.0
-84.170;55.565;air;;;45.0
