radius;thickness;material;index;v-no;sa
75.050;9.000;LAF3;1.717;48.0;33.0 
270.700;0.100;air;;;33.0 
39.270;16.510;BAF11;1.667;48.4;27.5 
;2.000;SF5;1.673;32.2;27.5 
25.650;10.990;air;;;19.5 
;13.000;air;;;18.6 
-31.870;7.030;SF5;1.673;32.2;18.5 
;8.980;LAF3;1.717;48.0;21.0
-43.510;0.100;air;;;21.0  
221.140;7.980;BAF11;1.667;48.4;23.0 
-88.790;61.418;air;;;23.0
