radius;thickness;material;index;v-no;sa
142.569;15.300;LAK31;1.697;56.4;42.7
-715.194;1.440;air;;;42.7
64.476;37.800;FK51;1.487;84.5;37.6
-855.297;14.580;SF2;1.648;33.8;27.4
33.363;13.500;air;;;19.9
;13.680;air;;;19.0
-36.198;27.270;F1;1.626;35.7;17.8
281.889;30.960;PSK53;1.620;63.5;23.2
-63.513;2.520;air;;;28.0
126.126;19.260;FK51;1.487;84.5;28.4
-64.278;9.810;SF7;1.640;34.6;28.4
-131.175;0.990;air;;;28.4
57.033;17.370;LAF21;1.788;47.5;26.4
156.870;39.751;air;;;22.6
